,quality
2455,6
1245,4
3745,7
3723,7
595,7
3516,7
4171,5
2756,6
5625,5
1773,6
4907,5
1269,6
1129,7
698,5
579,7
686,7
6386,5
1506,6
6394,5
1901,5
3989,6
3251,6
5696,6
6009,7
3824,7
125,6
6101,5
5092,5
3293,7
4596,6
3979,6
6376,3
2964,5
4971,4
2787,5
5413,5
3881,6
1102,5
461,5
298,6
4018,6
2473,6
853,5
901,6
273,5
2160,6
3869,6
507,7
4340,8
6352,6
3816,5
1578,5
2011,5
673,6
4127,5
2045,5
4616,5
1291,6
4843,5
1068,7
5183,5
266,6
1572,6
1742,6
4556,5
3179,4
2389,8
4450,6
1159,6
3757,5
889,7
240,5
4038,5
1355,5
3413,6
4743,5
4632,6
5485,5
939,7
5685,6
2559,5
405,5
3486,6
2239,6
4536,6
5881,6
4856,6
5527,5
3656,7
5654,6
3780,5
2658,7
2021,6
1348,8
4717,6
3342,5
287,7
5516,5
3669,7
561,5
4646,7
3236,6
4317,7
341,6
1024,6
4739,6
3475,6
6456,5
1896,6
1643,7
3614,5
6235,5
2479,6
1296,6
6183,5
633,5
4397,5
6461,5
6285,5
582,6
1949,5
77,7
6422,6
2244,5
6270,5
1144,5
1857,5
4909,5
1812,6
1401,6
861,7
3738,6
6125,5
1231,7
2425,6
5931,6
5021,5
2774,8
4636,5
5650,5
5465,6
4911,5
4020,4
2656,4
413,5
1887,5
6209,6
1808,5
778,7
5597,6
2315,6
2850,5
1554,7
4441,6
5611,5
575,6
5734,7
3537,5
1837,7
3823,5
2892,5
175,6
5308,6
3713,5
6097,6
1906,5
4574,7
4810,5
3456,5
1424,6
2648,6
4389,4
1525,5
5663,6
922,6
2298,8
5239,6
1915,7
3962,7
3708,5
697,5
3782,6
4736,6
1707,5
3788,5
216,5
5281,6
5051,5
570,5
5299,6
3583,6
3240,6
3950,5
4067,5
3544,6
838,8
1842,6
3285,7
999,7
3466,6
5468,6
5219,5
875,7
206,5
3152,6
2627,7
1223,5
426,6
3352,6
5121,6
5647,6
1952,7
6121,6
5993,5
2778,7
580,5
4409,7
1425,6
4473,5
3091,6
4411,7
390,7
5745,6
5788,5
4011,7
1404,5
1220,6
4261,7
3223,6
1652,4
5259,6
5559,5
5790,6
911,5
1252,6
3932,8
5161,5
56,6
2474,7
4012,6
636,7
5665,5
4287,5
2440,5
2898,5
3455,6
4254,5
3971,6
3203,7
4898,5
4118,8
6418,6
4619,5
2714,6
743,5
2314,6
1672,5
369,5
450,5
2793,7
3340,6
1942,5
2897,5
1194,6
2901,7
3117,7
1876,6
1796,5
424,7
5949,5
2876,5
5753,7
4367,5
2096,5
179,6
1967,7
6318,5
6382,4
3452,5
1076,6
1513,6
2463,7
5569,5
4191,5
3874,5
5710,5
5296,6
5392,6
619,6
5727,6
3553,6
1092,6
5400,7
5808,6
6222,6
1615,6
3850,6
1870,6
1376,6
1469,5
5548,5
4336,8
3648,5
3093,7
846,5
327,6
5237,7
5421,5
126,5
560,7
4746,6
4269,5
455,6
1693,5
379,7
4668,7
3541,6
6149,5
4593,6
3360,7
4579,6
5148,6
3531,5
1459,6
4886,7
1848,5
4532,6
1341,5
1095,8
5831,5
4708,6
2900,6
4199,6
6158,5
5479,5
2145,6
4531,6
429,5
5379,8
2745,7
2721,5
2466,5
4329,5
2583,7
4606,5
417,5
4293,5
4587,6
3319,5
1196,7
6348,7
2891,6
2786,6
4759,6
3701,5
6063,5
692,5
4074,4
3946,6
4301,5
1353,5
3467,5
451,5
4649,5
4924,5
4968,6
6372,5
1052,5
2052,5
2601,5
986,6
2941,5
5871,5
1066,6
380,7
2556,5
5629,5
3310,7
5686,6
3744,7
1943,5
4813,5
5297,5
1877,6
5962,6
5170,5
4162,7
5780,6
2193,6
5517,5
4360,5
2213,6
5594,6
1519,5
2542,5
5892,5
711,6
1358,8
4058,6
3843,7
3567,6
2410,6
257,7
4698,6
5325,6
1126,7
6296,7
2963,7
6371,5
4808,5
4582,6
3125,5
86,6
3994,7
4528,6
2127,5
5249,6
749,6
1224,7
2149,6
3142,6
630,5
546,6
5436,7
4800,7
3401,5
5947,6
1667,6
5016,6
715,7
5304,6
5466,6
1170,6
1551,6
5254,5
4597,6
2230,7
2660,6
847,5
3242,6
4693,6
1462,6
2993,7
3528,4
5179,7
6349,7
4586,6
1928,6
4749,6
5273,7
308,7
3130,6
6238,6
5035,5
467,6
3039,6
4154,5
5912,6
490,6
5792,6
4941,5
295,6
2139,5
2163,6
2004,6
3288,6
5295,6
3202,7
5242,6
3197,6
2924,6
4351,6
5197,5
3101,6
5327,6
4418,6
967,6
2800,5
5041,5
5077,5
5080,5
474,6
2651,5
1413,6
916,7
5490,5
4283,6
3716,5
836,8
4841,6
248,7
193,5
3996,7
4357,6
4333,8
2739,7
1099,7
5979,7
1483,4
2852,5
2776,8
4292,6
3146,6
404,6
704,6
1855,6
1874,5
763,6
478,6
5012,5
6021,6
4423,6
1587,6
4706,7
2218,6
1610,6
4009,6
9,6
6088,6
2861,6
603,5
6119,6
89,6
4854,6
3940,5
5000,6
3029,8
2472,6
2946,6
1867,6
237,6
5370,6
1601,6
4279,6
3670,6
1373,6
4930,5
1536,5
1395,7
2349,5
876,9
5755,7
2896,5
124,6
1055,5
4755,6
2001,5
2307,5
3993,7
4140,6
2015,6
753,6
4090,6
2395,5
5914,7
1044,7
5726,8
1771,6
1644,7
2488,6
1761,6
2795,8
142,6
4666,5
3222,6
2940,6
5088,5
771,7
713,5
4139,7
3086,7
4637,6
5807,6
2291,6
5923,6
4052,5
4361,6
6355,5
1265,7
1445,6
1726,6
289,7
3520,5
4225,5
6445,5
6416,5
781,6
4849,5
955,5
5433,6
2313,7
1026,6
1669,6
394,5
4880,6
2640,6
3693,7
310,7
818,5
2596,5
3880,6
817,5
3545,6
1800,6
5434,5
3992,7
4879,6
4233,6
2949,6
4809,6
2243,5
6041,6
1381,7
2521,7
5313,5
2725,5
4474,6
2633,5
6104,7
5230,6
3490,7
2632,5
1731,6
1662,7
4720,5
2698,6
4365,5
5833,6
5513,5
1866,6
2893,7
3582,6
1975,6
3525,6
1193,7
3171,6
625,8
5901,7
3676,7
3277,7
6492,5
2135,5
2100,5
2622,7
3857,6
6127,5
4705,6
2296,7
3112,5
5886,5
1128,5
858,7
6148,6
4299,6
3702,6
373,6
2138,5
500,6
4985,5
5927,7
4049,6
891,7
2855,7
1613,7
892,5
1982,8
1482,6
4955,5
3451,7
325,5
1999,6
4062,6
5128,7
4239,7
2012,5
90,6
617,6
1412,8
555,7
3983,6
6323,6
4455,5
1660,6
1312,5
6251,5
5668,6
2066,5
4982,6
4408,5
39,5
4323,6
1959,5
2250,6
6059,6
5118,6
4719,6
5194,5
1629,6
6312,5
4853,5
1520,6
4482,6
3317,6
4060,5
793,7
428,5
133,5
6397,6
4633,6
3758,5
6155,6
2545,6
4454,6
3221,6
268,6
5584,5
675,6
4887,7
5703,7
364,7
4202,6
728,5
6019,6
4227,7
3576,5
5741,5
6165,6
5970,6
1706,6
4116,6
2705,6
5482,7
5768,6
1219,8
5592,5
4951,5
2885,6
6170,5
1622,6
4988,5
6458,5
2717,6
1767,5
1246,7
2903,6
5030,5
6482,7
48,6
4950,6
3136,5
383,6
2048,5
5913,6
5015,6
1190,6
3799,5
721,5
641,4
4656,7
2719,6
59,6
4025,6
3134,6
1165,5
3649,6
3181,6
1737,6
5300,6
969,7
4222,4
670,6
4350,6
1256,6
5651,5
6350,7
5068,4
4210,6
6419,4
6197,3
3485,7
1604,5
6012,6
5103,7
4867,6
798,6
5511,5
4272,6
645,5
5396,8
3243,7
4107,6
4835,6
3017,6
2503,4
2111,5
6335,5
4657,7
5990,6
4288,6
1849,6
1450,6
4189,5
53,6
3344,6
1550,6
4679,5
2533,5
4998,6
2637,5
3448,7
674,5
1085,5
3084,6
343,5
4751,6
5216,7
850,7
97,7
512,6
1097,7
5543,7
2869,6
5621,5
87,6
4963,5
5276,6
5973,7
2590,6
752,6
5737,5
5510,6
2109,6
4837,6
5677,5
3577,7
2929,6
4791,6
5062,5
3476,8
4840,7
224,6
5983,5
2494,4
5006,6
35,5
5636,5
2363,5
2013,6
276,6
5789,5
2327,6
746,6
2671,7
4578,7
6212,6
1782,6
4509,5
4938,5
3109,4
151,6
3643,6
3900,5
2381,6
5134,6
2680,6
6153,5
1232,7
1047,5
4178,7
4464,5
5935,5
4380,6
2328,5
1311,6
1147,5
2084,6
5669,5
481,6
3828,6
4396,5
5659,5
4192,6
980,6
3628,6
5342,7
4716,6
4703,7
5323,7
1414,6
4063,5
828,7
5561,6
3398,5
2607,6
3672,8
3098,7
2046,5
2679,6
3724,6
4309,6
1544,5
6304,6
3124,6
4830,6
4570,6
3145,6
382,6
3967,4
6061,5
5689,5
6264,5
1487,6
4164,5
3684,7
4440,5
886,6
593,5
4933,6
1410,6
4370,5
4585,6
3376,6
1156,6
3102,6
4253,4
1543,6
2158,6
3417,4
4463,6
5213,6
2873,8
491,7
2271,6
2942,5
50,6
5111,5
653,6
2073,5
2695,6
4147,7
2379,4
5437,5
4653,7
220,5
2370,7
1718,4
3311,7
4358,5
2824,6
2650,5
631,5
362,6
5798,5
993,4
1862,7
3977,6
3552,6
6425,6
1677,6
2344,6
4548,5
4659,6
5365,6
4352,5
1627,5
3607,6
5278,6
2451,5
5852,6
3572,6
592,5
6443,6
4715,6
3384,6
1630,5
3426,6
3283,6
4852,5
4885,6
5159,4
5143,6
1826,5
274,5
3469,6
3621,7
5581,5
1699,6
1888,5
5469,6
3826,6
1602,5
4662,6
3291,8
5667,5
329,5
5410,6
5402,7
890,6
1432,7
788,7
1935,5
5084,5
6046,6
4289,6
2750,8
227,6
4033,6
3158,7
700,5
5566,5
4535,6
2682,6
6310,6
4157,7
4690,6
3513,6
3036,5
3343,7
4980,5
629,6
